driver_id,constructor_id,points,grid,position,best_quali_time,season,round,race_name,circuit_id,circuit_name,lat,long,locality,country,date,time,sprint_date
leclerc,ferrari,26,1,1,90.55799999999999,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
sainz,ferrari,18,3,2,90.687,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
hamilton,mercedes,15,5,3,91.048,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
russell,mercedes,12,9,4,91.252,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
kevin_magnussen,haas,10,7,5,91.461,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
bottas,alfa,8,6,6,91.56,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
ocon,alpine,6,11,7,91.782,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
tsunoda,alphatauri,4,16,8,92.75,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
alonso,alpine,2,8,9,91.621,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
zhou,alfa,1,15,10,92.493,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
mick_schumacher,haas,0,12,11,91.998,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
stroll,aston_martin,0,19,12,93.032,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
albon,williams,0,14,13,92.664,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
ricciardo,mclaren,0,18,14,92.945,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
norris,mclaren,0,13,15,92.00800000000001,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
latifi,williams,0,20,16,93.634,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
hulkenberg,aston_martin,0,17,17,92.777,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
perez,red_bull,0,4,18,90.92099999999999,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
max_verstappen,red_bull,0,2,19,90.681,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
gasly,alphatauri,0,10,20,91.635,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-20,15:00:00Z,NA
max_verstappen,red_bull,25,4,1,88.461,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
leclerc,ferrari,19,2,2,88.225,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
sainz,ferrari,15,3,3,88.402,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
perez,red_bull,12,1,4,88.2,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
russell,mercedes,10,6,5,89.104,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
ocon,alpine,8,5,6,89.068,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
norris,mclaren,6,11,7,89.651,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
gasly,alphatauri,4,9,8,89.254,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
kevin_magnussen,haas,2,10,9,89.54599999999999,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
hamilton,mercedes,1,15,10,90.343,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
zhou,alfa,0,12,11,89.819,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
hulkenberg,aston_martin,0,17,12,90.543,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
stroll,aston_martin,0,13,13,90.256,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
albon,williams,0,16,14,90.492,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
bottas,alfa,0,8,15,89.18299999999999,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
alonso,alpine,0,7,16,89.14699999999999,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
ricciardo,mclaren,0,14,17,89.773,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
latifi,williams,0,18,18,91.81700000000001,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
tsunoda,alphatauri,0,19,19,Inf,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
mick_schumacher,haas,0,0,20,89.92,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z,NA
leclerc,ferrari,26,1,1,77.868,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
perez,red_bull,18,3,2,78.24,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
russell,mercedes,15,6,3,78.93299999999999,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
hamilton,mercedes,12,5,4,78.825,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
norris,mclaren,10,4,5,78.703,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
ricciardo,mclaren,8,7,6,79.032,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
ocon,alpine,6,8,7,79.061,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
bottas,alfa,4,12,8,79.251,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
gasly,alphatauri,2,11,9,79.226,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
albon,williams,1,20,10,80.135,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
zhou,alfa,0,14,11,79.91,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
stroll,aston_martin,0,19,12,Inf,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-10,05:00:00Z,NA
